year_month,year,month,n_tenders,n_lots,total_value,n_lots_one_bid,total_value_one_bid,share_one_bid_num,share_one_bid_value,avg_bids,median_bids,avg_lot_value,median_lot_value,zero_lots_month,outlier_total_value,outlier_share_value
2014-06,2014,6,117,242,14574903.77,38,3730076.02,0.15702479338842976,0.25592457273561814,4.462809917355372,4.0,60226.87508264463,9454.0,0,0,0
2014-07,2014,7,163,318,19221747.57,60,2378809.16,0.18867924528301888,0.12375613358447617,3.861635220125786,3.0,60445.7470754717,10135.060000000001,0,0,0
2014-08,2014,8,131,237,13697302.92,69,2393327.28,0.2911392405063291,0.17472982046015814,3.3797468354430378,2.0,57794.527088607596,8115.0,0,0,0
2014-09,2014,9,158,244,16463016.97,80,2865335.69,0.32786885245901637,0.1740468162804791,2.80327868852459,2.0,67471.38102459017,13972.0,0,0,0
2014-10,2014,10,142,306,11305564.38,92,2188660.63,0.3006535947712418,0.19359145253038662,3.189542483660131,3.0,36946.288823529416,8029.219999999999,0,0,0
2014-11,2014,11,143,252,18992915.14,71,10004413.91,0.28174603174603174,0.526744516903054,3.3214285714285716,2.0,75368.71087301588,10973.689999999999,0,0,0
2014-12,2014,12,123,218,9433298.72,46,2914907.08,0.21100917431192662,0.30900188433765613,3.36697247706422,3.0,43272.01247706422,12336.5,0,0,0
2015-01,2015,1,79,153,15462407.030000001,47,5267440.37,0.30718954248366015,0.3406610859344323,3.2679738562091503,2.0,101061.48385620916,10885.0,0,0,0
2015-02,2015,2,66,129,5785265.31,20,1206611.27,0.15503875968992248,0.20856628094727778,4.6976744186046515,4.0,44847.01790697674,11048.0,0,0,0
2015-03,2015,3,86,142,6517615.64,21,1010569.26,0.14788732394366197,0.15505198769284897,4.387323943661972,4.0,45898.70169014084,12831.5,0,0,0
2015-04,2015,4,95,152,19188311.27,15,3782172.11,0.09868421052631579,0.19710812779617787,5.217105263157895,4.0,126238.88993421053,21814.0,0,0,0
2015-05,2015,5,109,195,15244673.06,26,1491040.4,0.13333333333333333,0.09780730581309036,4.0,3.0,78177.81056410256,22594.0,0,0,0
2015-06,2015,6,140,307,16028242.22,49,1761931.65,0.15960912052117263,0.10992669226083107,4.381107491856677,4.0,52209.25804560261,8140.0,0,0,0
2015-07,2015,7,140,240,16269510.57,40,2525456.58,0.16666666666666666,0.15522634003857438,3.5458333333333334,3.0,67789.627375,25693.5,0,0,0
2015-08,2015,8,134,210,12460781.25,26,1122116.95,0.12380952380952381,0.09005189381685036,3.7714285714285714,3.0,59337.05357142857,17911.0,0,0,0
2015-09,2015,9,117,244,14301129.64,50,2557486.69,0.20491803278688525,0.17883109617066584,3.4262295081967213,3.0,58611.18704918033,13637.875,0,0,0
2015-10,2015,10,148,239,15298104.79,38,3360630.2,0.1589958158995816,0.2196762439617202,4.2719665271966525,3.0,64008.806652719664,24781.0,0,0,0
2015-11,2015,11,126,204,15317481.36,41,1864601.06,0.20098039215686275,0.12173026466800284,3.7745098039215685,3.0,75085.69294117647,14827.5,0,0,0
2015-12,2015,12,133,236,15022326.91,45,1765767.77,0.1906779661016949,0.1175428933599209,3.4237288135593222,3.0,63653.92758474576,9786.42,0,0,0
2016-01,2016,1,85,182,65191013.38,40,1033425.0700000001,0.21978021978021978,0.01585226270339042,4.7967032967032965,4.0,358192.3812087912,18506.5,0,1,0
2016-02,2016,2,93,104,13475115.9,11,241087.72000000003,0.10576923076923077,0.017891328118372622,4.923076923076923,4.0,129568.42211538462,6746.535,0,0,0
2016-03,2016,3,90,129,10092099.63,17,3551733.6999999997,0.13178294573643412,0.3519320884865263,5.2015503875969,4.0,78233.33046511629,9179.0,0,0,0
2016-04,2016,4,127,182,8792235.69,21,580258.68,0.11538461538461539,0.0659967157909526,5.978021978021978,5.0,48308.9873076923,8194.0,0,0,0
2016-05,2016,5,129,191,18097249.96,28,1124954.47,0.14659685863874344,0.06216162524618187,5.020942408376963,4.0,94749.99979057592,11912.0,0,0,0
2016-06,2016,6,178,276,41885401.6,49,17561002.0,0.17753623188405798,0.419263068495922,6.369565217391305,4.0,151758.70144927537,8551.0,0,0,0
2016-07,2016,7,187,270,20591989.62,57,4022087.23,0.2111111111111111,0.19532290488790563,4.425925925925926,3.0,76266.62822222222,13810.4,0,0,0
2016-08,2016,8,173,253,12174997.76,57,1809084.26,0.22529644268774704,0.14859011029501823,4.383399209486166,3.0,48122.52079051383,11213.0,0,0,0
2016-09,2016,9,141,205,11660729.28,39,1689716.95,0.1902439024390244,0.1449066271436498,4.487804878048781,3.0,56881.60624390244,15040.0,0,0,0
2016-10,2016,10,119,171,13440382.67,20,1942847.8699999999,0.11695906432748537,0.14455301740303797,4.526315789473684,4.0,78598.72906432749,5603.33,0,0,0
2016-11,2016,11,178,251,19666495.44,47,2490118.43,0.18725099601593626,0.12661729374188896,3.9243027888446216,3.0,78352.57147410359,11705.0,0,0,0
2016-12,2016,12,144,192,12215506.66,42,1184070.03,0.21875,0.09693171662517026,4.09375,3.0,63622.43052083333,8234.0,0,0,0
2017-01,2017,1,89,167,16262943.0,29,939404.6,0.17365269461077845,0.05776350565823172,3.9221556886227544,3.0,97382.89221556886,12252.0,0,0,0
2017-02,2017,2,89,162,20885353.7,30,919035.45,0.18518518518518517,0.04400382503457435,4.216049382716049,3.0,128921.93641975308,9671.5,0,0,0
2017-03,2017,3,151,255,20422916.28,37,1573459.43,0.1450980392156863,0.0770438172701553,5.050980392156863,4.0,80089.8677647059,6168.0,0,0,0
2017-04,2017,4,108,159,10899431.49,31,2416741.01,0.1949685534591195,0.22173092350892878,4.169811320754717,3.0,68549.88358490566,8625.0,0,0,0
2017-05,2017,5,135,252,69932262.38,52,4813105.65,0.20634920634920634,0.06882525298332842,4.48015873015873,3.0,277508.97769841267,14503.5,0,1,0
2017-06,2017,6,163,304,25365343.19,49,3073082.05,0.1611842105263158,0.12115278815590902,4.473684210526316,4.0,83438.6289144737,14989.0,0,0,0
2017-07,2017,7,165,280,20821761.18,47,2015706.43,0.16785714285714284,0.09680768176018432,4.089285714285714,3.0,74363.43278571428,14496.2,0,0,0
2017-08,2017,8,126,220,18938584.26,79,4242219.63,0.35909090909090907,0.22399877265165752,2.977272727272727,2.0,86084.47390909091,16839.98,0,0,0
2017-09,2017,9,105,208,19171992.86,55,3287453.77,0.2644230769230769,0.17147167714937278,3.1634615384615383,2.0,92173.04259615384,19357.5,0,0,0
2017-10,2017,10,135,223,25934508.45,55,5317591.17,0.24663677130044842,0.20503921176111592,3.3004484304932737,3.0,116298.24417040359,22290.0,0,0,0
2017-11,2017,11,187,267,24872913.5,62,3432272.34,0.23220973782771537,0.13799237230491715,3.5692883895131087,3.0,93156.97940074907,19490.0,0,0,0
2017-12,2017,12,119,195,13442070.27,53,2373490.52,0.2717948717948718,0.17657179826660735,3.0,2.0,68933.69369230769,17800.0,0,0,0
2018-01,2018,1,89,161,15725944.78,36,4570570.17,0.2236024844720497,0.29063882863259044,3.1677018633540373,2.0,97676.67565217392,24327.73,0,0,0
2018-02,2018,2,79,111,12085967.42,22,2064371.92,0.1981981981981982,0.1708073378208726,3.3963963963963963,3.0,108882.58936936937,7420.0,0,0,0
2018-03,2018,3,112,406,24583948.79,53,5356806.93,0.13054187192118227,0.2178985555070382,3.7118226600985222,4.0,60551.598004926105,10730.0,0,0,0
2018-04,2018,4,105,142,18588388.82,47,2205533.09,0.33098591549295775,0.11865111663830581,3.232394366197183,2.0,130904.14661971832,23747.0,0,0,0
2018-05,2018,5,132,251,19654289.16,61,3755873.93,0.24302788844621515,0.19109691016675773,3.362549800796813,3.0,78303.94087649403,20099.0,0,0,0
2018-06,2018,6,141,234,30322056.02,78,8514580.379999999,0.3333333333333333,0.28080484959146246,2.948717948717949,2.0,129581.43598290598,19886.33,0,0,0
2018-07,2018,7,168,264,24426148.56,93,8216426.66,0.3522727272727273,0.33637831358543085,3.212121212121212,2.0,92523.29,14445.1,0,0,0
2018-08,2018,8,165,273,22838651.37,103,6160337.64,0.3772893772893773,0.2697329864272104,2.9047619047619047,2.0,83658.06362637362,21211.0,0,0,0
2018-09,2018,9,184,285,35984191.45,130,9315061.75,0.45614035087719296,0.2588653899016536,2.526315789473684,2.0,126260.320877193,24441.0,0,0,0
2018-10,2018,10,228,384,26428478.59,131,6231893.69,0.3411458333333333,0.23580221119342157,2.7682291666666665,2.0,68824.16299479167,12084.0,0,0,0
2018-11,2018,11,219,312,17942577.54,104,5624390.32,0.3333333333333333,0.3134661286797482,2.8493589743589745,2.0,57508.26134615384,12473.0,0,0,0
2018-12,2018,12,193,291,25236014.23,97,3249632.19,0.3333333333333333,0.12876962900650574,3.3402061855670104,2.0,86721.69838487972,17521.0,0,0,0
2019-01,2019,1,152,228,22811783.29,84,8433515.35,0.3684210526315789,0.36969995913020093,2.6535087719298245,2.0,100051.68109649123,20870.725,0,0,0
2019-02,2019,2,160,230,24510045.62,80,8653337.58,0.34782608695652173,0.35305269170690345,3.008695652173913,2.0,106565.41573913043,20915.32,0,0,0
2019-03,2019,3,168,227,20480486.35,101,5549128.45,0.44493392070484583,0.27094710326544563,2.488986784140969,2.0,90222.40682819384,13700.0,0,0,0
2019-04,2019,4,199,399,22375255.91,173,7048118.98,0.43358395989974935,0.314996128238696,2.6090225563909772,2.0,56078.33561403509,17999.59,0,0,0
2019-05,2019,5,193,334,28486171.88,79,5177278.649999999,0.23652694610778444,0.18174708317458904,3.661676646706587,3.0,85287.93976047904,16406.275,0,0,0
2019-06,2019,6,214,323,25828654.830000002,123,8588972.22,0.38080495356037153,0.3325365674879786,2.959752321981424,2.0,79964.87563467493,12444.6,0,0,0
2019-07,2019,7,238,342,37831347.13,100,5033250.18,0.29239766081871343,0.13304443436032617,2.982456140350877,2.0,110617.9740643275,28269.125,0,0,0
2019-08,2019,8,204,284,20660475.29,74,5025529.91,0.2605633802816901,0.24324367370350078,2.8732394366197185,2.0,72748.15242957746,19076.98,0,0,0
2019-09,2019,9,174,277,21338241.64,94,3765478.29,0.33935018050541516,0.17646619405327907,3.8231046931407944,2.0,77033.36332129964,13103.06,0,0,0
2019-10,2019,10,256,335,33508959.52,112,4268130.66,0.33432835820895523,0.12737281972161935,2.808955223880597,2.0,100026.7448358209,7557.73,0,0,0
2019-11,2019,11,253,349,42542582.54,117,4101865.18,0.335243553008596,0.0964178696989842,2.997134670487106,2.0,121898.51730659025,12785.3,0,0,0
2019-12,2019,12,215,314,28937161.14,117,6323568.8,0.37261146496815284,0.21852761469606966,2.5859872611464967,2.0,92156.56414012739,16932.0,0,0,0
2020-01,2020,1,135,198,14715826.2,42,2912321.79,0.21212121212121213,0.19790406263428145,3.4494949494949494,3.0,74322.35454545454,21658.5,0,0,0
2020-02,2020,2,173,250,18327192.94,79,3966712.36,0.316,0.2164386206325386,2.76,2.0,73308.77176,12996.415,0,0,0
2020-03,2020,3,157,201,18320040.02,76,4029858.75,0.3781094527363184,0.21996997526209552,2.8507462686567164,2.0,91144.47771144279,11255.0,0,0,0
2020-04,2020,4,118,172,15487849.22,52,3589390.53,0.3023255813953488,0.2317552604634667,3.2848837209302326,2.0,90045.63500000001,19683.5,0,0,0
2020-05,2020,5,147,204,16198615.1,57,5865257.01,0.27941176470588236,0.36208385555133044,3.323529411764706,3.0,79404.97598039215,12746.619999999999,0,0,0
2020-06,2020,6,169,263,30669651.87,73,9314545.23,0.27756653992395436,0.30370560675033836,4.391634980988593,3.0,116614.64589353613,16912.25,0,0,0
2020-07,2020,7,175,236,14603433.32,79,3001898.58,0.3347457627118644,0.20556115224553234,4.461864406779661,2.0,61878.95474576271,12367.0,0,0,0
2020-08,2020,8,193,267,17429029.37,93,2772511.09,0.34831460674157305,0.15907432543387812,3.295880149812734,2.0,65277.26355805244,12066.0,0,0,0
2020-09,2020,9,178,234,17373595.99,86,1976938.81,0.36752136752136755,0.11378984587519468,2.8974358974358974,2.0,74246.1367094017,16803.09,0,0,0
2020-10,2020,10,215,316,22076422.92,101,3423223.27,0.31962025316455694,0.15506240673160648,3.6234177215189876,3.0,69862.09784810127,10254.5,0,0,0
2020-11,2020,11,269,424,28233362.18,143,6151119.8100000005,0.33726415094339623,0.2178670670104371,3.169811320754717,2.0,66588.1183490566,13221.675,0,0,0
2020-12,2020,12,206,284,27244763.22,93,3829675.58,0.3274647887323944,0.14056556664029618,3.6619718309859155,2.0,95932.26485915492,14250.0,0,0,0
2021-01,2021,1,102,178,21718524.96,42,4582267.47,0.23595505617977527,0.21098428546318734,3.3202247191011236,3.0,122014.18516853933,26094.5,0,0,0
2021-02,2021,2,159,246,24342207.22,70,3808578.0100000002,0.2845528455284553,0.1564598467007874,3.9146341463414633,3.0,98952.06186991869,19935.5,0,0,0
2021-03,2021,3,164,276,52613748.49,80,5635917.3,0.2898550724637681,0.1071187182390395,4.840579710144928,3.0,190629.52351449276,25234.0,0,0,0
2021-04,2021,4,156,263,18290622.49,86,5676737.03,0.3269961977186312,0.31036324942486965,3.098859315589354,3.0,69546.09311787071,10325.0,0,0,0
2021-05,2021,5,209,324,43812238.22,111,7130688.62,0.3425925925925926,0.16275563426350786,6.234567901234568,3.0,135222.95746913578,20536.15,0,0,0
2021-06,2021,6,217,318,31712198.29,110,8536223.92,0.34591194968553457,0.2691779309002296,2.9654088050314464,2.0,99723.89399371069,15973.59,0,0,0
2021-07,2021,7,278,430,30081285.1,140,6397977.76,0.32558139534883723,0.21268964203926247,3.5767441860465117,2.0,69956.47697674419,16079.369999999999,0,0,0
2021-08,2021,8,173,235,14632556.83,81,2385198.19,0.3446808510638298,0.16300624817050513,2.676595744680851,2.0,62266.19927659575,17109.0,0,0,0
2021-09,2021,9,196,298,17329536.87,105,7142792.63,0.3523489932885906,0.41217446741841285,2.815436241610738,2.0,58152.808288590604,15878.5,0,0,0
2021-10,2021,10,271,410,35868696.27,134,6845690.5,0.32682926829268294,0.19085417681393746,2.8536585365853657,2.0,87484.6250487805,14499.25,0,0,0
2021-11,2021,11,270,371,33815621.87,163,6488013.76,0.4393530997304582,0.1918643928815614,2.549865229110512,2.0,91147.22876010781,13276.51,0,0,0
2021-12,2021,12,322,437,30808127.669999998,204,9246818.99,0.4668192219679634,0.30014219263977754,2.3524027459954233,2.0,70499.14798627002,13966.9,0,0,0
2022-01,2022,1,125,213,21666145.28,63,7342086.39,0.29577464788732394,0.3388736803485516,2.7934272300469485,2.0,101718.99192488263,24440.0,0,0,0
2022-02,2022,2,149,267,16837821.64,96,5994306.0,0.3595505617977528,0.3560024644613114,2.453183520599251,2.0,63063.00239700375,10500.0,0,0,0
2022-03,2022,3,248,392,35083801.0,159,5938334.49,0.40561224489795916,0.16926143464329876,2.6096938775510203,2.0,89499.49234693877,13512.0,0,0,0
2022-04,2022,4,157,221,16783783.79,76,2409813.81,0.3438914027149321,0.143579888787402,3.515837104072398,2.0,75944.7230316742,14624.0,0,0,0
2022-05,2022,5,230,363,27919088.78,129,4669144.65,0.35537190082644626,0.16723843270073946,2.8622589531680442,2.0,76912.0903030303,17874.0,0,0,0
2022-06,2022,6,259,350,23450583.64,151,4147324.01,0.43142857142857144,0.1768537650775501,2.88,2.0,67001.66754285715,13458.125,0,0,0
2022-07,2022,7,259,356,28044075.66,144,4129748.18,0.4044943820224719,0.14725920119700606,2.8258426966292136,2.0,78775.49342696629,11320.1,0,0,0
2022-08,2022,8,204,312,38937882.86,101,4516990.95,0.32371794871794873,0.11600504748141308,2.8846153846153846,2.0,124800.90660256411,16538.005,0,0,0
2022-09,2022,9,219,285,11693616.959999999,127,1787932.72,0.4456140350877193,0.15289817736598754,3.2035087719298247,2.0,41030.234947368415,12327.27,0,0,0
2022-10,2022,10,288,358,16408312.620000001,167,5273915.81,0.4664804469273743,0.32141731646261135,2.6145251396648046,2.0,45833.27547486034,10200.5,0,0,0
2022-11,2022,11,323,388,10994543.67,196,5908855.37,0.5051546391752577,0.5374352540090461,2.5902061855670104,1.0,28336.452757731957,6324.59,0,0,0
