date,currency,rate_units_per_usd
2020-04-01,UGX,3741.263438831676
2020-05-01,UGX,3749.8384137834823
2020-06-01,UGX,3699.6506791548295
2020-07-01,UGX,3664.5303902004075
2020-08-01,UGX,3639.1436360677085
2020-09-01,UGX,3656.415704900568
2020-10-01,UGX,3680.3711492365055
2020-11-01,UGX,3672.904250372024
2020-12-01,UGX,3630.634999150815
2021-01-01,UGX,3654.3913225446427
2021-02-01,UGX,3630.7530029296877
2021-03-01,UGX,3624.3372855808425
2021-04-01,UGX,3588.846446644176
2021-05-01,UGX,3515.108933221726
2021-06-01,UGX,3502.6048583984375
2021-07-01,UGX,3513.571710759943
2021-08-01,UGX,3499.7267622514205
2021-09-01,UGX,3491.498524058949
2021-10-01,UGX,3541.0084635416665
2021-11-01,UGX,3513.5529452237215
2021-12-01,UGX,3516.666546365489
2022-01-01,UGX,3488.9584030877977
2022-02-01,UGX,3473.8428344726562
2022-03-01,UGX,3549.8175420346465
2022-04-01,UGX,3503.450439453125
2022-05-01,UGX,3578.60390403054
2022-06-01,UGX,3707.904796253551
2022-07-01,UGX,3743.739699590774
2022-08-01,UGX,3792.215470023777
2022-09-01,UGX,3775.2629061612215
2022-10-01,UGX,3776.739966982887
2022-11-01,UGX,3713.286931818182
2022-12-01,UGX,3645.5512140447445
2023-01-01,UGX,3652.9223188920455
2023-02-01,UGX,3642.295361328125
2023-03-01,UGX,3697.3976838485055
2023-04-01,UGX,3704.4854736328125
2023-05-01,UGX,3686.061374830163
2023-06-01,UGX,3667.559315074574
2023-07-01,UGX,3617.3270903087796
2023-08-01,UGX,3645.0274180536685
2023-09-01,UGX,3696.050072079613
2023-10-01,UGX,3709.731844815341
2023-11-01,UGX,3736.761629971591
2023-12-01,UGX,3740.6318243117557
2024-01-01,UGX,3763.878768257473
2024-02-01,UGX,3828.7086007254466
2024-03-01,UGX,3853.4460100446427
2024-04-01,UGX,3782.850330699574
2024-05-01,UGX,3748.2328464673915
2024-06-01,UGX,3713.5537841796877
2024-07-01,UGX,3664.2559230638585
2024-08-01,UGX,3679.199962269176
2024-09-01,UGX,3672.1423921130954
2024-10-01,UGX,3629.042862601902
2024-11-01,UGX,3635.9130045572915
